Package,Built
AlgDesign,3.4.0
anytime,3.4.1
backports,3.4.1
BH,3.4.3
bit,3.4.2
bit64,3.4.2
blob,3.4.2
brew,3.4.0
broom,3.4.0
car,3.4.1
cellranger,3.4.0
chron,3.4.2
cli,3.4.3
clipr,3.4.3
clisymbols,3.4.3
colorspace,3.4.0
colourpicker,3.4.0
config,3.4.3
countrycode,3.4.0
crayon,3.4.3
crosstalk,3.4.0
curl,3.4.1
data.table,3.4.0
data.tree,3.4.0
dbConnect,3.4.0
DBI,3.4.1
debugme,3.4.3
DEoptimR,3.4.0
desc,3.4.3
devtools,3.4.1
DiagrammeR,3.4.1
dichromat,3.4.0
digest,3.4.3
doParallel,3.4.0
downloader,3.4.1
dplyr,3.4.1
DT,3.4.0
e1071,3.4.0
enc,3.4.3
extraDistr,3.4.1
extrafont,3.4.0
extrafontdb,3.4.0
flexdashboard,3.4.0
forcats,3.4.0
foreach,3.4.0
formattable,3.4.0
fortunes,3.4.0
fs,3.4.3
gdtools,3.4.1
geosphere,3.4.2
ggimage,3.4.3
ggiraph,3.4.1
ggmap,3.4.2
ggplot2,3.4.0
ggthemes,3.4.0
ggvis,3.4.0
gh,3.4.3
git2r,3.4.1
Gmedian,3.4.0
googlesheets,3.4.2
GPArotation,3.4.0
gridBase,3.4.0
gridExtra,3.4.0
gridGraphics,3.4.3
gsubfn,3.4.2
gtable,3.4.0
gWidgets,3.4.0
haven,3.4.1
here,3.4.3
hexbin,3.4.0
hexSticker,3.4.3
highcharter,3.4.0
highlite,3.4.3
hms,3.4.0
hrbrthemes,3.4.0
htmltools,3.4.0
htmlwidgets,3.4.1
httpuv,3.4.2
httr,3.4.2
humaniformat,3.4.0
hunspell,3.4.1
igraph,3.4.1
import,3.4.0
influenceR,3.4.0
ini,3.4.3
inline,3.4.0
irlba,3.4.0
iterators,3.4.0
janeaustenr,3.4.1
jose,3.4.0
jpeg,3.4.2
jsonlite,3.4.1
knitr,3.4.1
labeling,3.4.0
lazyeval,3.4.3
leaflet,3.4.0
listviewer,3.4.0
lme4,3.4.0
lookup,3.4.3
lubridate,3.4.0
magick,3.4.3
magrittr,3.4.0
mailR,3.4.3
mapproj,3.4.2
maps,3.4.1
MatrixModels,3.4.0
memoise,3.4.3
microbenchmark,3.4.0
miniUI,3.4.0
minqa,3.4.0
mnormt,3.4.0
ModelMetrics,3.4.0
modelr,3.4.1
modules,3.4.1
munsell,3.4.0
mvtnorm,3.4.0
networkD3,3.4.0
NeuralNetTools,3.4.0
nloptr,3.4.0
NLP,3.4.1
NMF,3.4.0
officer,3.4.1
openssl,3.4.0
pander,3.4.3
pbkrtest,3.4.0
pdftables,3.4.0
pdftools,3.4.1
pkgmaker,3.4.0
plotly,3.4.1
plyr,3.4.0
png,3.4.0
polycor,3.4.0
processx,3.4.3
prophet,3.4.0
proto,3.4.2
pryr,3.4.0
psych,3.4.0
purrr,3.4.1
quantmod,3.4.1
quantreg,3.4.0
radiant,3.4.0
radiant.basics,3.4.0
radiant.data,3.4.0
radiant.design,3.4.0
radiant.model,3.4.0
radiant.multivariate,3.4.0
RApiDatetime,3.4.1
raster,3.4.0
RColorBrewer,3.4.0
Rcpp,3.4.3
RcppArmadillo,3.4.1
RcppEigen,3.4.0
RCurl,3.4.1
RDSTK,3.4.1
reactR,3.4.0
readr,3.4.0
readxl,3.4.0
registry,3.4.0
rematch,3.4.0
rematch2,3.4.3
reshape2,3.4.0
reticulate,3.4.3
rex,3.4.3
rgexf,3.4.0
RgoogleMaps,3.4.2
rjson,3.4.1
rlang,3.4.1
rlist,3.4.0
rmarkdown,3.4.1
R.methodsS3,3.4.0
RMySQL,3.4.1
rngtools,3.4.0
robustbase,3.4.0
R.oo,3.4.0
Rook,3.4.0
rpivotTable,3.4.0
rprojroot,3.4.0
RSpectra,3.4.0
RSQLite,3.4.2
rstan,3.4.1
rstudioapi,3.4.3
Rttf2pt1,3.4.0
R.utils,3.4.3
rvcheck,3.4.3
rvest,3.4.0
rvg,3.4.1
sandwich,3.4.1
scales,3.4.0
selectr,3.4.0
shiny,3.4.1
shinyAce,3.4.0
shinyBS,3.4.1
shinydashboard,3.4.1
shinyjs,3.4.1
showtext,3.4.3
showtextdb,3.4.3
slam,3.4.0
SnowballC,3.4.0
sp,3.4.1
SparseM,3.4.0
sqldf,3.4.2
StanHeaders,3.4.1
stringdist,3.4.1
styler,3.4.3
sysfonts,3.4.3
tabulizer,3.4.1
tabulizerjars,3.4.1
tensorflow,3.4.3
tfruns,3.4.3
tibble,3.4.1
tidyr,3.4.1
tidyselect,3.4.1
tidytext,3.4.1
tidyverse,3.4.0
tm,3.4.0
tokenizers,3.4.0
TTR,3.4.1
usethis,3.4.3
uuid,3.4.0
viridis,3.4.0
viridisLite,3.4.0
visNetwork,3.4.1
whisker,3.4.0
withr,3.4.3
wordcloud,3.4.0
XLConnect,3.4.0
XLConnectJars,3.4.0
xml2,3.4.0
xts,3.4.1
zip,3.4.0
zoo,3.4.0
